endpoint,k,variant,negative_intent,terms_with_volume,total_volume,weighted_violation_rate,weighted_compliant_rate,weighted_unclear_rate
lexical,4,control,"non clumping unscented cat litter

the user is actually looking for cat litter",1,11479,1.0,0.0,0.0
lexical,4,control,pea,1,5939,1.0,0.0,0.0
lexical,4,control,pill,1,2506,1.0,0.0,0.0
lexical,4,control,poop eating,1,16984,0.25,0.75,0.0
lexical,4,control,probiotic,1,982,1.0,0.0,0.0
lexical,4,control,protein,1,5096,1.0,0.0,0.0
lexical,4,control,rice,1,1195,1.0,0.0,0.0
lexical,4,control,salt,1,1015,0.0,0.0,1.0
lexical,4,control,scented,1,1755,1.0,0.0,0.0
lexical,4,control,scoot,1,25922,1.0,0.0,0.0
lexical,4,control,seafood,1,1668,0.0,1.0,0.0
lexical,4,control,shell,1,1278,0.5,0.0,0.5
lexical,4,control,soy and corn,1,1287,0.0,1.0,0.0
lexical,4,control,spray,1,2497,1.0,0.0,0.0
lexical,4,control,squeaker,1,1524,1.0,0.0,0.0
lexical,4,control,squeaky,1,17562,0.0,0.0,1.0
lexical,4,control,squirrel,1,5398,0.75,0.25,0.0
lexical,4,control,stink,1,3161,0.25,0.75,0.0
lexical,4,control,stuff,1,1489,0.0,1.0,0.0
lexical,4,control,stuffed,1,6207,0.0,1.0,0.0
lexical,4,control,sunflower seeds,1,3792,0.5,0.25,0.25
lexical,4,control,tear,1,7647,1.0,0.0,0.0
lexical,4,control,toot,1,1991,1.0,0.0,0.0
lexical,4,control,toxic,1,1267,0.0,1.0,0.0
lexical,4,control,track,1,1419,1.0,0.0,0.0
lexical,4,control,"unscented
dust",1,1250,0.0,1.0,0.0
lexical,4,control,waste free,1,2251,1.0,0.0,0.0
lexical,4,control,yeast,1,6961,0.25,0.0,0.75
l2,36,control,all negative intent,795,7015957,0.19870460510860677,0.72718387805008,0.07411151684131319
l2,36,control,grain,332,2692575,0.09257494117052345,0.8855923027007399,0.021832756128736728
l2,36,control,chicken,59,461986,0.6004366654689391,0.24643243157440556,0.1531309029566552
l2,36,control,pull,53,820714,0.24293584119234976,0.7490400313399501,0.008024127467700102
l2,36,control,rawhide,47,760133,0.16545130917878842,0.8045536475561219,0.0299950432650894
l2,36,control,hide,36,388507,0.10803587694544609,0.8888326908452671,0.0031314322092866583
